"","V1","V2","V3","V4","Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Cohort_label"
"26",-0.308277153505268,0.261987202945123,0.252969296096549,-0.128448169453489,"C0109-P001NS01","Cow 01","Farm 09","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"27",-0.191685927923236,-0.299374457636482,0.239742911037442,-0.063429106620255,"C0109-S001NS01","Cow 01","Farm 09","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"28",-0.208746645228081,-0.30975050487976,0.13100508279608,-0.0148914563582625,"C0110-F001NS01","Cow 01","Farm 10","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"29",-0.18126348927947,-0.238261672531305,-0.0141524733699295,-0.0763231547337522,"C0110-P001NS01","Cow 01","Farm 10","May","2019-05-06","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"30",-0.119997741448018,-0.269572013028145,-0.0448866815301627,-0.0561571600688445,"C0110-S001NS01","Cow 01","Farm 10","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"31",-0.201031829494622,-0.36127309797203,0.28589553612186,-0.0235198854842541,"C0110-V401NS01","Cow 01","Farm 10","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"32",-0.213761931650135,-0.286336813842506,0.03531791131079,-0.0183849700362782,"C0111-F001NS01","Cow 01","Farm 11","Oct","2019-10-23","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"33",-0.341417230292067,0.21020483003634,0.265899176623759,-0.0990843745901428,"C0111-P001NS01","Cow 01","Farm 11","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"34",-0.184501957300058,-0.149261261542824,-0.0670533308742792,0.0220749124613991,"C0111-S001NS01","Cow 01","Farm 11","Aug","2019-08-07","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"35",-0.282555979233905,-0.0512452982404549,0.133674316928022,-0.0170517377842329,"C0111-V401NS01","Cow 01","Farm 11","Jan","2020-01-15","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"36",-0.106494562811655,0.13475399044446,0.0378735646925384,0.177812526055167,"C0112-P001NS01","Cow 01","Farm 12","May","2019-05-10","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"37",-0.123495115100331,0.125286968471644,0.028205038477346,0.163809906167733,"C0112-S001NS01","Cow 01","Farm 12","Aug","2019-08-14","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"38",-0.318744836888336,-0.0256599447899912,-0.300653691368643,-0.101004828826334,"C0112-V301NS01","Cow 01","Farm 12","Nov","2019-11-11","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"39",-0.367474070137443,0.162163537178495,-0.0482075661202845,-0.168628226868756,"C0112-V401NS01","Cow 01","Farm 12","Feb","2020-02-06","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"40",-0.216478702440007,0.0527274124056187,-0.124755279959759,0.0339459584313883,"C0114-P001NS01","Cow 01","Farm 14","May","2019-05-29","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"41",-0.224596931282464,-0.181298539706247,-0.136097987475604,-0.0352183172523083,"C0114-S001NS01","Cow 01","Farm 14","Aug","2019-08-23","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"42",-0.185393671700479,0.0269595144080798,-0.160242151995266,0.115855969662115,"C0114-V301NS01","Cow 01","Farm 14","Nov","2019-11-19","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"43",-0.385979994552406,0.334112003217527,0.000465022100551543,-0.159499834935595,"C0114-V401NS01","Cow 01","Farm 14","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"44",-0.183906152234524,0.00569176454779169,-0.107680358444302,0.0217343813363667,"C0115-P001NS01","Cow 01","Farm 15","May","2019-05-30","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"45",-0.200913037592588,-0.0557115771158061,-0.243324397810083,0.00243659908493874,"C0115-S001NS01","Cow 01","Farm 15","Aug","2019-08-22","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"46",-0.224514563223927,-0.0507624741923471,-0.369418375118754,-0.0513350304927328,"C0115-V301NS01","Cow 01","Farm 15","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"47",-0.288446078810615,0.0389865090376913,-0.18633663794824,-0.145492188931035,"C0115-V401NS01","Cow 01","Farm 15","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"48",-0.107410515112459,-0.311090533448086,0.00839789087792452,0.0564886943914818,"C0116-F001NS01","Cow 01","Farm 16","Oct","2019-10-16","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"49",-0.146625656130106,-0.0797354469741148,0.0189586388877611,0.0190108994817426,"C0116-P001NS01","Cow 01","Farm 16","Jul","2019-07-23","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"50",0.0339415754790856,-0.221122788196231,0.00337055635687347,-0.0928952295174885,"C0116-V301NS01","Cow 01","Farm 16","Jan","2020-01-08","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"51",-0.0853382873566917,-0.289410242567204,0.0613397796021585,-0.0819121885628581,"C0117-F001NS01","Cow 01","Farm 17","Sep","2019-09-19","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"52",-0.179837401847057,0.0314603426782417,0.267076672796521,-0.217303196084083,"C0117-S001NS01","Cow 01","Farm 17","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"53",-0.288407915417128,0.345822297820615,0.293783266868784,-0.0795467748932305,"C0117-V301NS01","Cow 01","Farm 17","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"54",-0.169691219532392,-0.0063680182306755,0.0156897434248053,0.447210952825207,"C0119-S001NS01","Cow 01","Farm 19","Jul","2019-07-18","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"55",-0.204974639915281,-0.418189460635344,0.103762973966867,-0.0740033851699104,"C0120-S001NS01","Cow 01","Farm 20","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"56",-0.266826980019939,-0.187818147640221,-0.273632309263996,-0.0730953318866624,"C0120-V201NS01","Cow 01","Farm 20","Oct","2019-10-31","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
