"","HumanSample","HumanCohort","SiteComparison","MeanBrayCurtis"
"82","D0106-V202NS01","Non-Farmer","Same Site",0.92593498689549
"83","D0106-V203NS01","Non-Farmer","Different Site",0.944549984456369
"84","D0106-V203NS01","Non-Farmer","Same Site",0.926014687656702
"85","D0106-V301NS01","Non-Farmer","Different Site",0.942474493983896
"86","D0106-V301NS01","Non-Farmer","Same Site",0.922313334128892
"87","D0106-V302NS01","Non-Farmer","Different Site",0.944874229545107
"88","D0106-V302NS01","Non-Farmer","Same Site",0.926846043993463
"89","D0106-V303NS01","Non-Farmer","Different Site",0.944861892228018
"90","D0106-V303NS01","Non-Farmer","Same Site",0.926854207115995
"91","D0106-V402NS01","Non-Farmer","Different Site",0.94469657854999
"92","D0106-V402NS01","Non-Farmer","Same Site",0.926483947292831
"93","D0106-V403NS01","Non-Farmer","Different Site",0.944690500652102
"94","D0106-V403NS01","Non-Farmer","Same Site",0.926509961840186
"95","D0107-S001NS01","Non-Farmer","Different Site",0.851310834708334
"96","D0107-S001NS01","Non-Farmer","Same Site",0.938562049348186
"97","D0107-V102NS01","Non-Farmer","Different Site",0.92185502917472
"98","D0107-V102NS01","Non-Farmer","Same Site",0.962124130752845
"99","D0107-V103NS01","Non-Farmer","Different Site",0.936088360208272
"100","D0107-V103NS01","Non-Farmer","Same Site",0.977004440081846
"101","D0107-V201NS01","Non-Farmer","Different Site",0.821515381322529
"102","D0107-V201NS01","Non-Farmer","Same Site",0.911379764143831
"103","D0107-V202NS01","Non-Farmer","Different Site",0.834161186223618
"104","D0107-V202NS01","Non-Farmer","Same Site",0.911243325077377
"105","D0107-V203NS01","Non-Farmer","Different Site",0.934581342046074
"106","D0107-V203NS01","Non-Farmer","Same Site",0.972225078988884
"107","D0107-V301NS01","Non-Farmer","Different Site",0.809032024147741
"108","D0107-V301NS01","Non-Farmer","Same Site",0.88976601945393
"109","D0107-V302NS01","Non-Farmer","Different Site",0.903744610263171
"110","D0107-V302NS01","Non-Farmer","Same Site",0.915045416460306
"111","D0107-V303NS01","Non-Farmer","Different Site",0.915027991801852
"112","D0107-V303NS01","Non-Farmer","Same Site",0.957570347170092
"113","D0107-V402NS01","Non-Farmer","Different Site",0.922950692346021
"114","D0107-V402NS01","Non-Farmer","Same Site",0.963065660226171
"115","D0108-S001NS01","Non-Farmer","Different Site",0.937632255682378
"116","D0108-S001NS01","Non-Farmer","Same Site",0.993260147634562
"117","D0108-V102NS01","Non-Farmer","Different Site",0.91394529702526
"118","D0108-V102NS01","Non-Farmer","Same Site",0.982797626903802
"119","D0108-V103NS01","Non-Farmer","Different Site",0.901230683913707
"120","D0108-V103NS01","Non-Farmer","Same Site",0.973985500506604
"121","D0108-V201NS01","Non-Farmer","Different Site",0.922152461193576
"122","D0108-V201NS01","Non-Farmer","Same Site",0.984856746191044
"123","D0108-V202NS01","Non-Farmer","Different Site",0.918266931144911
"124","D0108-V202NS01","Non-Farmer","Same Site",0.985061804078744
"125","D0108-V203NS01","Non-Farmer","Different Site",0.892825632045987
"126","D0108-V203NS01","Non-Farmer","Same Site",0.970764385392072
"127","D0108-V302NS01","Non-Farmer","Different Site",0.905606238209723
"128","D0108-V302NS01","Non-Farmer","Same Site",0.982405810648113
"129","D0108-V402NS01","Non-Farmer","Different Site",0.909007049175307
"130","D0108-V402NS01","Non-Farmer","Same Site",0.979572738652182
"131","D0109-F001NS01","Non-Farmer","Different Site",0.914176444953963
"132","D0109-F001NS01","Non-Farmer","Same Site",0.861793553128928
"133","D0109-S001NS01","Non-Farmer","Different Site",0.935510431494263
"134","D0109-S001NS01","Non-Farmer","Same Site",0.896286437845231
"135","D0109-V103NS01","Non-Farmer","Different Site",0.935655226811735
"136","D0109-V103NS01","Non-Farmer","Same Site",0.898104677784854
"137","D0109-V104NS01","Non-Farmer","Different Site",0.910068504386733
"138","D0109-V104NS01","Non-Farmer","Same Site",0.864999295698447
"139","D0109-V203NS01","Non-Farmer","Different Site",0.937762427312149
"140","D0109-V203NS01","Non-Farmer","Same Site",0.903059523396438
"141","D0109-V301NS01","Non-Farmer","Different Site",0.893021731005892
"142","D0109-V301NS01","Non-Farmer","Same Site",0.811760421122719
"143","D0109-V302NS01","Non-Farmer","Different Site",0.930133923215033
"144","D0109-V302NS01","Non-Farmer","Same Site",0.894354855758616
"145","D0109-V303NS01","Non-Farmer","Different Site",0.922935342888603
"146","D0109-V303NS01","Non-Farmer","Same Site",0.890246364749006
"147","D0109-V401NS01","Non-Farmer","Different Site",0.918757964749142
"148","D0109-V401NS01","Non-Farmer","Same Site",0.88221526023215
"149","D0109-V402NS01","Non-Farmer","Different Site",0.940766252888617
"150","D0109-V402NS01","Non-Farmer","Same Site",0.904347276616769
"151","D0109-V403NS01","Non-Farmer","Different Site",0.933329318227425
"152","D0109-V403NS01","Non-Farmer","Same Site",0.899323271567701
"153","D0110-F001NS01","Non-Farmer","Different Site",0.936059268375077
"154","D0110-F001NS01","Non-Farmer","Same Site",0.931540423306501
"155","D0110-S001NS01","Non-Farmer","Different Site",0.928307685879775
"156","D0110-S001NS01","Non-Farmer","Same Site",0.924151570089986
"157","D0110-V103NS01","Non-Farmer","Different Site",0.93041541738196
"158","D0110-V103NS01","Non-Farmer","Same Site",0.921330665908669
"159","D0110-V104NS01","Non-Farmer","Different Site",0.918188940709978
"160","D0110-V104NS01","Non-Farmer","Same Site",0.92167760541745
"161","D0110-V203NS01","Non-Farmer","Different Site",0.931770655584284
"162","D0110-V203NS01","Non-Farmer","Same Site",0.928887698006774
"163","D0110-V301NS01","Non-Farmer","Different Site",0.864142589246411
"164","D0110-V301NS01","Non-Farmer","Same Site",0.779027124256117
"165","D0110-V302NS01","Non-Farmer","Different Site",0.938313861257034
"166","D0110-V302NS01","Non-Farmer","Same Site",0.934643382391135
"167","D0110-V303NS01","Non-Farmer","Different Site",0.932358761371287
"168","D0110-V303NS01","Non-Farmer","Same Site",0.924403674036941
"169","D0110-V401NS01","Non-Farmer","Different Site",0.917989952042846
"170","D0110-V401NS01","Non-Farmer","Same Site",0.920459688609129
"171","D0110-V402NS01","Non-Farmer","Different Site",0.938742790274344
"172","D0110-V402NS01","Non-Farmer","Same Site",0.934026717323988
"173","D0110-V403NS01","Non-Farmer","Different Site",0.940718452550287
"174","D0110-V403NS01","Non-Farmer","Same Site",0.935597425868591
"175","D0111-P001NS01","Non-Farmer","Different Site",0.874020094673569
"176","D0111-P001NS01","Non-Farmer","Same Site",0.861701359031078
"177","D0111-S001NS01","Non-Farmer","Different Site",0.853859441364269
"178","D0111-S001NS01","Non-Farmer","Same Site",0.836097427059887
"179","D0111-V103NS01","Non-Farmer","Different Site",0.924003901789351
"180","D0111-V103NS01","Non-Farmer","Same Site",0.939292216528442
"181","D0111-V202NS01","Non-Farmer","Different Site",0.919249632157643
"182","D0111-V202NS01","Non-Farmer","Same Site",0.940846245938066
"183","D0111-V203NS01","Non-Farmer","Different Site",0.900462897952612
"184","D0111-V203NS01","Non-Farmer","Same Site",0.914747273003301
"185","D0111-V302NS01","Non-Farmer","Different Site",0.927876131487039
"186","D0111-V302NS01","Non-Farmer","Same Site",0.944976860281234
"187","D0111-V303NS01","Non-Farmer","Different Site",0.92881166061931
"188","D0111-V303NS01","Non-Farmer","Same Site",0.944241159140229
"189","D0111-V401NS01","Non-Farmer","Different Site",0.810770228595948
"190","D0111-V401NS01","Non-Farmer","Same Site",0.78438887088677
"191","D0111-V402NS01","Non-Farmer","Different Site",0.906706921917378
"192","D0111-V402NS01","Non-Farmer","Same Site",0.925232252750617
"193","D0111-V403NS01","Non-Farmer","Different Site",0.904787110049528
"194","D0111-V403NS01","Non-Farmer","Same Site",0.915062471386314
"195","D0112-S001NS01","Non-Farmer","Different Site",0.85513209204286
"196","D0112-S001NS01","Non-Farmer","Same Site",0.922817870281603
"197","D0112-V103NS01","Non-Farmer","Different Site",0.920296741609549
"198","D0112-V103NS01","Non-Farmer","Same Site",0.94836936351539
"199","D0112-V201NS01","Non-Farmer","Different Site",0.843596843712629
"200","D0112-V201NS01","Non-Farmer","Same Site",0.906570066323218
"201","D0112-V202NS01","Non-Farmer","Different Site",0.93317378356963
