"","HumanSample","HumanCohort","SiteComparison","MeanBrayCurtis"
"408","D0126-V301NS01","Non-Farmer","Same Site",0.825326845608527
"409","D0126-V302NS01","Non-Farmer","Different Site",0.907549515868264
"410","D0126-V302NS01","Non-Farmer","Same Site",0.944981573319612
"411","D0126-V303NS01","Non-Farmer","Different Site",0.917701952270083
"412","D0126-V303NS01","Non-Farmer","Same Site",0.949972703597368
"413","D0126-V402NS01","Non-Farmer","Different Site",0.823773382073402
"414","D0126-V402NS01","Non-Farmer","Same Site",0.819018136077487
"415","D0127-V101NS01","Non-Farmer","Different Site",0.871462765776091
"416","D0127-V101NS01","Non-Farmer","Same Site",0.891379180174566
"417","D0127-V201NS01","Non-Farmer","Different Site",0.817750585000379
"418","D0127-V201NS01","Non-Farmer","Same Site",0.843184642887663
"419","D0128-F001NS01","Non-Farmer","Different Site",0.8753203812524
"420","D0128-F001NS01","Non-Farmer","Same Site",0.869796138342406
"421","D0129-F001NS01","Non-Farmer","Different Site",0.84507484589269
"422","D0129-F001NS01","Non-Farmer","Same Site",0.833778589899775
"423","D0129-V102NS01","Non-Farmer","Different Site",0.913794675068987
"424","D0129-V102NS01","Non-Farmer","Same Site",0.904830395324316
"425","D0129-V103NS01","Non-Farmer","Different Site",0.913810225767275
"426","D0129-V103NS01","Non-Farmer","Same Site",0.910091617284874
"427","D0129-V201NS01","Non-Farmer","Different Site",0.839690976928184
"428","D0129-V201NS01","Non-Farmer","Same Site",0.82438765471476
"429","D0129-V202NS01","Non-Farmer","Different Site",0.89892654967809
"430","D0129-V202NS01","Non-Farmer","Same Site",0.913586273554339
"431","D0129-V203NS01","Non-Farmer","Different Site",0.883406670942938
"432","D0129-V203NS01","Non-Farmer","Same Site",0.863957672987251
"433","D0129-V302NS01","Non-Farmer","Different Site",0.844720815858168
"434","D0129-V302NS01","Non-Farmer","Same Site",0.83270710487965
"435","D0129-V303NS01","Non-Farmer","Different Site",0.901337958642724
"436","D0129-V303NS01","Non-Farmer","Same Site",0.89742571790967
"437","D0129-V402NS01","Non-Farmer","Different Site",0.928811970443309
"438","D0129-V402NS01","Non-Farmer","Same Site",0.927433374119473
"439","D0133-V101NS01","Non-Farmer","Different Site",0.884391080879847
"440","D0133-V101NS01","Non-Farmer","Same Site",0.930340535973195
"441","D0133-V102NS01","Non-Farmer","Different Site",0.939986779048443
"442","D0133-V102NS01","Non-Farmer","Same Site",0.95312766635683
"443","D0133-V103NS01","Non-Farmer","Different Site",0.935185965518968
"444","D0133-V103NS01","Non-Farmer","Same Site",0.95198374592415
"445","D0133-V202NS01","Non-Farmer","Different Site",0.940673307426428
"446","D0133-V202NS01","Non-Farmer","Same Site",0.953050508000021
"447","D0133-V302NS01","Non-Farmer","Different Site",0.942141607025397
"448","D0133-V302NS01","Non-Farmer","Same Site",0.952677560888999
"449","D0133-V401NS01","Non-Farmer","Different Site",0.936281234271516
"450","D0133-V401NS01","Non-Farmer","Same Site",0.950112911407658
"451","D0133-V402NS01","Non-Farmer","Different Site",0.941896412442627
"452","D0133-V402NS01","Non-Farmer","Same Site",0.952252177209321
"453","D0134-V101NS01","Non-Farmer","Different Site",0.919654593126566
"454","D0134-V101NS01","Non-Farmer","Same Site",0.949556200640224
"455","D0134-V102NS01","Non-Farmer","Different Site",0.791632603574302
"456","D0134-V102NS01","Non-Farmer","Same Site",0.860280276112838
"457","D0134-V103NS01","Non-Farmer","Different Site",0.927770228909934
"458","D0134-V103NS01","Non-Farmer","Same Site",0.953286046209574
"459","D0134-V201NS01","Non-Farmer","Different Site",0.800948912847099
"460","D0134-V201NS01","Non-Farmer","Same Site",0.831581808085567
"461","D0134-V202NS01","Non-Farmer","Different Site",0.938632436286399
"462","D0134-V202NS01","Non-Farmer","Same Site",0.958832825909101
"463","D0134-V203NS01","Non-Farmer","Different Site",0.93902644939572
"464","D0134-V203NS01","Non-Farmer","Same Site",0.961526946577125
"465","D0134-V302NS01","Non-Farmer","Different Site",0.931698490271551
"466","D0134-V302NS01","Non-Farmer","Same Site",0.957647420040089
"467","D0134-V303NS01","Non-Farmer","Different Site",0.939298316576276
"468","D0134-V303NS01","Non-Farmer","Same Site",0.959288241417378
"469","D0134-V402NS01","Non-Farmer","Different Site",0.938728393358438
"470","D0134-V402NS01","Non-Farmer","Same Site",0.960408655281809
"471","D0135-V102NS01","Non-Farmer","Different Site",0.846020938062681
"472","D0135-V102NS01","Non-Farmer","Same Site",0.965393840801332
"473","D0135-V103NS01","Non-Farmer","Different Site",0.888250268939181
"474","D0135-V103NS01","Non-Farmer","Same Site",0.97143133627676
"475","D0135-V202NS01","Non-Farmer","Different Site",0.849255129054858
"476","D0135-V202NS01","Non-Farmer","Same Site",0.966510829534855
"477","D0135-V203NS01","Non-Farmer","Different Site",0.858607556148522
"478","D0135-V203NS01","Non-Farmer","Same Site",0.886412319933275
"479","D0135-V302NS01","Non-Farmer","Different Site",0.848221321695898
"480","D0135-V302NS01","Non-Farmer","Same Site",0.962951016741985
"481","D0135-V402NS01","Non-Farmer","Different Site",0.856367274583082
"482","D0135-V402NS01","Non-Farmer","Same Site",0.964574153710756
"483","D0136-V101NS01","Non-Farmer","Different Site",0.835571561396512
"484","D0136-V101NS01","Non-Farmer","Same Site",0.833071499054715
"485","D0137-V102NS01","Non-Farmer","Different Site",0.941358410084208
"486","D0137-V102NS01","Non-Farmer","Same Site",0.949696448752896
"487","D0137-V103NS01","Non-Farmer","Different Site",0.934871413537115
"488","D0137-V103NS01","Non-Farmer","Same Site",0.944596398690813
"489","D0137-V202NS01","Non-Farmer","Different Site",0.911641357004007
"490","D0137-V202NS01","Non-Farmer","Same Site",0.922445687522975
"491","D0137-V302NS01","Non-Farmer","Different Site",0.938944285495859
"492","D0137-V302NS01","Non-Farmer","Same Site",0.946367113241934
"493","D0137-V402NS01","Non-Farmer","Different Site",0.942370815145789
"494","D0137-V402NS01","Non-Farmer","Same Site",0.951840227224058
"495","D0138-V101NS01","Non-Farmer","Different Site",0.852074482413286
"496","D0138-V101NS01","Non-Farmer","Same Site",0.913764793751607
"497","D0138-V102NS01","Non-Farmer","Different Site",0.897692105377155
"498","D0138-V102NS01","Non-Farmer","Same Site",0.899753140332859
"499","D0138-V202NS01","Non-Farmer","Different Site",0.889621901085681
"500","D0138-V202NS01","Non-Farmer","Same Site",0.888928483598589
"501","D0138-V302NS01","Non-Farmer","Different Site",0.868036426111277
"502","D0138-V302NS01","Non-Farmer","Same Site",0.885856154994062
"503","D0138-V401NS01","Non-Farmer","Different Site",0.890005891963997
"504","D0138-V401NS01","Non-Farmer","Same Site",0.876244342297044
"505","D0139-V101NS01","Non-Farmer","Different Site",0.846639775989714
"506","D0139-V101NS01","Non-Farmer","Same Site",0.60611120172144
"507","D0139-V401NS01","Non-Farmer","Different Site",0.888952639409433
"508","D0139-V401NS01","Non-Farmer","Same Site",0.846873284700618
"509","D0141-V103NS01","Non-Farmer","Different Site",0.929238027459416
"510","D0141-V103NS01","Non-Farmer","Same Site",0.952917380123149
"511","D0141-V202NS01","Non-Farmer","Different Site",0.935600268765437
"512","D0141-V202NS01","Non-Farmer","Same Site",0.958294348220892
"513","D0141-V302NS01","Non-Farmer","Different Site",0.915440717855394
"514","D0141-V302NS01","Non-Farmer","Same Site",0.942817039966666
"515","D0141-V402NS01","Non-Farmer","Different Site",0.951345251030059
"516","D0141-V402NS01","Non-Farmer","Same Site",0.962863422088511
"517","D0142-V101NS01","Non-Farmer","Different Site",0.921732274172181
"518","D0142-V101NS01","Non-Farmer","Same Site",0.87304315072068
"519","D0142-V102NS01","Non-Farmer","Different Site",0.891889586543279
"520","D0142-V102NS01","Non-Farmer","Same Site",0.825718682213929
"521","D0142-V103NS01","Non-Farmer","Different Site",0.929598319269419
"522","D0142-V103NS01","Non-Farmer","Same Site",0.884074886538906
"523","D0142-V202NS01","Non-Farmer","Different Site",0.9192808042171
"524","D0142-V202NS01","Non-Farmer","Same Site",0.86787560060525
"525","D0142-V203NS01","Non-Farmer","Different Site",0.904096051375161
"526","D0142-V203NS01","Non-Farmer","Same Site",0.841589584205082
"527","D0142-V302NS01","Non-Farmer","Different Site",0.942856683916032
"528","D0142-V302NS01","Non-Farmer","Same Site",0.8996030740478
"529","D0142-V401NS01","Non-Farmer","Different Site",0.935410855111635
"530","D0142-V401NS01","Non-Farmer","Same Site",0.891159692586061
"531","D0142-V402NS01","Non-Farmer","Different Site",0.918077429555817
"532","D0142-V402NS01","Non-Farmer","Same Site",0.865359316485819
"533","D0143-V102NS01","Non-Farmer","Different Site",0.920154228572307
"534","D0143-V102NS01","Non-Farmer","Same Site",0.922319430531868
"535","D0143-V103NS01","Non-Farmer","Different Site",0.950767659938979
"536","D0143-V103NS01","Non-Farmer","Same Site",0.954899970215469
"537","D0143-V203NS01","Non-Farmer","Different Site",0.939846079764642
"538","D0143-V203NS01","Non-Farmer","Same Site",0.939773843573451
"539","D0143-V302NS01","Non-Farmer","Different Site",0.909648566143937
"540","D0143-V302NS01","Non-Farmer","Same Site",0.919279252614208
"541","D0143-V402NS01","Non-Farmer","Different Site",0.916958476690596
"542","D0143-V402NS01","Non-Farmer","Same Site",0.916773828800038
"543","D0201-F001NS01","Non-Farmer","Different Site",0.834610653574344
"544","D0201-F001NS01","Non-Farmer","Same Site",0.905989811402047
"545","D0201-S001NS01","Non-Farmer","Different Site",0.766058441246095
"546","D0201-S001NS01","Non-Farmer","Same Site",0.901636968477743
"547","D0201-V202NS01","Non-Farmer","Different Site",0.931254288126338
"548","D0201-V202NS01","Non-Farmer","Same Site",0.987126130016166
"549","D0201-V301NS01","Non-Farmer","Different Site",0.825591289729242
"550","D0201-V301NS01","Non-Farmer","Same Site",0.911159176219178
"551","D0201-V302NS01","Non-Farmer","Different Site",0.88017202628522
"552","D0201-V302NS01","Non-Farmer","Same Site",0.968402001139061
"553","D0202-F001NS01","Non-Farmer","Different Site",0.847933753805176
"554","D0202-F001NS01","Non-Farmer","Same Site",0.944236504957572
"555","D0202-P001NS01","Non-Farmer","Different Site",0.856260033840953
"556","D0202-P001NS01","Non-Farmer","Same Site",0.930749426588088
"557","D0202-S001NS01","Non-Farmer","Different Site",0.892193234855003
"558","D0202-S001NS01","Non-Farmer","Same Site",0.977062557303338
"559","D0202-V103NS01","Non-Farmer","Different Site",0.874906930553873
"560","D0202-V103NS01","Non-Farmer","Same Site",0.928170263600396
"561","D0202-V203NS01","Non-Farmer","Different Site",0.875345321910694
"562","D0202-V203NS01","Non-Farmer","Same Site",0.873491189367771
"563","D0202-V302NS01","Non-Farmer","Different Site",0.874549990505845
"564","D0202-V302NS01","Non-Farmer","Same Site",0.924754379184898
"565","D0202-V303NS01","Non-Farmer","Different Site",0.921945051114601
"566","D0202-V303NS01","Non-Farmer","Same Site",0.937240682646852
"567","D0202-V401NS01","Non-Farmer","Different Site",0.853151344059775
"568","D0202-V401NS01","Non-Farmer","Same Site",0.925655800419134
"569","D0202-V402NS01","Non-Farmer","Different Site",0.934191562617002
"570","D0202-V402NS01","Non-Farmer","Same Site",0.941747595289804
"571","D0202-V403NS01","Non-Farmer","Different Site",0.906993739219402
"572","D0202-V403NS01","Non-Farmer","Same Site",0.93422427222182
"573","D0210-F001NS01","Non-Farmer","Different Site",0.880386563220302
"574","D0210-F001NS01","Non-Farmer","Same Site",0.770732778295237
"575","D0210-P001NS01","Non-Farmer","Different Site",0.797835522775315
"576","D0210-P001NS01","Non-Farmer","Same Site",0.733656996352762
"577","D0210-S001NS01","Non-Farmer","Different Site",0.897193677883417
"578","D0210-S001NS01","Non-Farmer","Same Site",0.793845900093307
"579","D0210-V103NS01","Non-Farmer","Different Site",0.827537214930703
"580","D0210-V103NS01","Non-Farmer","Same Site",0.754343677278294
"581","D0210-V104NS01","Non-Farmer","Different Site",0.698788948453414
"582","D0210-V104NS01","Non-Farmer","Same Site",0.645310098895576
"583","D0210-V203NS01","Non-Farmer","Different Site",0.917821659228797
"584","D0210-V203NS01","Non-Farmer","Same Site",0.905792063825907
"585","D0210-V301NS01","Non-Farmer","Different Site",0.775280491706496
"586","D0210-V301NS01","Non-Farmer","Same Site",0.679866305318191
"587","D0210-V302NS01","Non-Farmer","Different Site",0.898618999431501
"588","D0210-V302NS01","Non-Farmer","Same Site",0.896366278996745
"589","D0210-V303NS01","Non-Farmer","Different Site",0.851751120105344
"590","D0210-V303NS01","Non-Farmer","Same Site",0.741634761929542
"591","D0210-V402NS01","Non-Farmer","Different Site",0.812764454997326
"592","D0210-V402NS01","Non-Farmer","Same Site",0.696044361779331
"593","D0210-V403NS01","Non-Farmer","Different Site",0.856200310006814
"594","D0210-V403NS01","Non-Farmer","Same Site",0.786514454077814
"595","D0215-S001NS01","Non-Farmer","Different Site",0.847915527741791
"596","D0215-S001NS01","Non-Farmer","Same Site",0.873720234311663
"597","D0215-V103NS01","Non-Farmer","Different Site",0.92857332663372
"598","D0215-V103NS01","Non-Farmer","Same Site",0.922894138792017
"599","D0215-V201NS01","Non-Farmer","Different Site",0.835422131844049
"600","D0215-V201NS01","Non-Farmer","Same Site",0.860477541465388
"601","D0215-V202NS01","Non-Farmer","Different Site",0.935265131184988
"602","D0215-V202NS01","Non-Farmer","Same Site",0.930260133994482
"603","D0215-V203NS01","Non-Farmer","Different Site",0.936453812434078
"604","D0215-V203NS01","Non-Farmer","Same Site",0.931075100735501
"605","D0215-V301NS01","Non-Farmer","Different Site",0.803940906954063
"606","D0215-V301NS01","Non-Farmer","Same Site",0.805973906338406
"607","D0215-V302NS01","Non-Farmer","Different Site",0.920667208947775
"608","D0215-V302NS01","Non-Farmer","Same Site",0.908536883879385
"609","D0215-V303NS01","Non-Farmer","Different Site",0.913525328759283
"610","D0215-V303NS01","Non-Farmer","Same Site",0.909976592584695
"611","D0215-V402NS01","Non-Farmer","Different Site",0.910862564345938
"612","D0215-V402NS01","Non-Farmer","Same Site",0.907740410617891
"613","D0215-V403NS01","Non-Farmer","Different Site",0.895989846904143
"614","D0215-V403NS01","Non-Farmer","Same Site",0.8940080407976
"615","D0216-S001NS01","Non-Farmer","Different Site",0.864332975281097
"616","D0216-S001NS01","Non-Farmer","Same Site",0.787418950983572
"617","D0216-V201NS01","Non-Farmer","Different Site",0.850896300872615
"618","D0216-V201NS01","Non-Farmer","Same Site",0.767990848396569
"619","D0219-S001NS01","Non-Farmer","Different Site",0.900652179595429
"620","D0219-S001NS01","Non-Farmer","Same Site",0.899313832141386
"621","D0219-V103NS01","Non-Farmer","Different Site",0.935076865923411
"622","D0219-V103NS01","Non-Farmer","Same Site",0.938804845188017
"623","D0219-V202NS01","Non-Farmer","Different Site",0.921548264031918
"624","D0219-V202NS01","Non-Farmer","Same Site",0.922539386423954
"625","D0219-V203NS01","Non-Farmer","Different Site",0.943034999794691
"626","D0219-V203NS01","Non-Farmer","Same Site",0.94845435008982
"627","D0219-V301NS01","Non-Farmer","Different Site",0.844052005013406
"628","D0219-V301NS01","Non-Farmer","Same Site",0.850215838472075
"629","D0219-V302NS01","Non-Farmer","Different Site",0.922016088234185
"630","D0219-V302NS01","Non-Farmer","Same Site",0.923340908783761
"631","D0219-V303NS01","Non-Farmer","Different Site",0.910519035621949
"632","D0219-V303NS01","Non-Farmer","Same Site",0.909192022478402
"633","D0219-V402NS01","Non-Farmer","Different Site",0.927314961886147
"634","D0219-V402NS01","Non-Farmer","Same Site",0.929685109318213
"635","D0221-V101NS01","Non-Farmer","Different Site",0.805975875675969
"636","D0221-V101NS01","Non-Farmer","Same Site",0.767312125344875
"637","D0221-V102NS01","Non-Farmer","Different Site",0.93375738570785
"638","D0221-V102NS01","Non-Farmer","Same Site",0.916475696027734
"639","D0221-V103NS01","Non-Farmer","Different Site",0.893152293732666
"640","D0221-V103NS01","Non-Farmer","Same Site",0.865286666523652
"641","D0221-V202NS01","Non-Farmer","Different Site",0.862111172248709
"642","D0221-V202NS01","Non-Farmer","Same Site",0.829484026052724
"643","D0221-V302NS01","Non-Farmer","Different Site",0.868503813659511
"644","D0221-V302NS01","Non-Farmer","Same Site",0.842563364664882
"645","D0221-V401NS01","Non-Farmer","Different Site",0.920525230799918
"646","D0221-V401NS01","Non-Farmer","Same Site",0.905330442375579
"647","D0221-V402NS01","Non-Farmer","Different Site",0.931306649929928
"648","D0221-V402NS01","Non-Farmer","Same Site",0.911909895885888
"649","D0222-V101NS01","Non-Farmer","Different Site",0.875556644334833
"650","D0222-V101NS01","Non-Farmer","Same Site",0.841609010984615
"651","D0222-V102NS01","Non-Farmer","Different Site",0.895236852902776
"652","D0222-V102NS01","Non-Farmer","Same Site",0.911266853639234
"653","D0222-V103NS01","Non-Farmer","Different Site",0.893915704121996
"654","D0222-V103NS01","Non-Farmer","Same Site",0.911718303497438
"655","D0222-V202NS01","Non-Farmer","Different Site",0.913689054207792
"656","D0222-V202NS01","Non-Farmer","Same Site",0.93699389067413
"657","D0222-V203NS01","Non-Farmer","Different Site",0.930961185673129
"658","D0222-V203NS01","Non-Farmer","Same Site",0.957514355434693
"659","D0222-V302NS01","Non-Farmer","Different Site",0.93974180760416
"660","D0222-V302NS01","Non-Farmer","Same Site",0.950556158796217
"661","D0222-V303NS01","Non-Farmer","Different Site",0.97549588149799
"662","D0222-V303NS01","Non-Farmer","Same Site",0.964683785416758
"663","D0222-V402NS01","Non-Farmer","Different Site",0.887995887983781
"664","D0222-V402NS01","Non-Farmer","Same Site",0.90862410256374
"665","D0223-V101NS01","Non-Farmer","Different Site",0.878820892553232
"666","D0223-V101NS01","Non-Farmer","Same Site",0.794017726046103
"667","D0223-V102NS01","Non-Farmer","Different Site",0.894248637182185
"668","D0223-V102NS01","Non-Farmer","Same Site",0.789220784919571
"669","D0223-V103NS01","Non-Farmer","Different Site",0.893923925623733
"670","D0223-V103NS01","Non-Farmer","Same Site",0.795047562072989
"671","D0223-V201NS01","Non-Farmer","Different Site",0.867746260506447
"672","D0223-V201NS01","Non-Farmer","Same Site",0.839682707999399
"673","D0223-V202NS01","Non-Farmer","Different Site",0.88504906112924
"674","D0223-V202NS01","Non-Farmer","Same Site",0.802374095654403
"675","D0223-V203NS01","Non-Farmer","Different Site",0.869060764574538
"676","D0223-V203NS01","Non-Farmer","Same Site",0.76319424425682
"677","D0223-V302NS01","Non-Farmer","Different Site",0.884305684882228
"678","D0223-V302NS01","Non-Farmer","Same Site",0.783457047362549
"679","D0223-V303NS01","Non-Farmer","Different Site",0.852957364190761
"680","D0223-V303NS01","Non-Farmer","Same Site",0.749085803788893
"681","D0223-V402NS01","Non-Farmer","Different Site",0.912589290445593
"682","D0223-V402NS01","Non-Farmer","Same Site",0.811761874468751
"683","D0226-F001NS01","Non-Farmer","Different Site",0.864203929439808
"684","D0226-F001NS01","Non-Farmer","Same Site",0.861842485124918
"685","D0226-V102NS01","Non-Farmer","Different Site",0.92680743483686
"686","D0226-V102NS01","Non-Farmer","Same Site",0.955977010919817
"687","D0226-V201NS01","Non-Farmer","Different Site",0.880050391112541
"688","D0226-V201NS01","Non-Farmer","Same Site",0.888534344128607
"689","D0226-V202NS01","Non-Farmer","Different Site",0.92701960118884
"690","D0226-V202NS01","Non-Farmer","Same Site",0.954779374828369
"691","D0226-V302NS01","Non-Farmer","Different Site",0.928135326931286
"692","D0226-V302NS01","Non-Farmer","Same Site",0.956078790808913
"693","D0226-V402NS01","Non-Farmer","Different Site",0.932200077848545
"694","D0226-V402NS01","Non-Farmer","Same Site",0.96241608030923
"695","D0228-F001NS01","Non-Farmer","Different Site",0.84995839301299
"696","D0228-F001NS01","Non-Farmer","Same Site",0.830394000731172
"697","D0228-V201NS01","Non-Farmer","Different Site",0.853674190224301
"698","D0228-V201NS01","Non-Farmer","Same Site",0.827331682184308
"699","D0229-V102NS01","Non-Farmer","Different Site",0.90985900503424
"700","D0229-V102NS01","Non-Farmer","Same Site",0.897064999399869
"701","D0229-V103NS01","Non-Farmer","Different Site",0.926985062175995
"702","D0229-V103NS01","Non-Farmer","Same Site",0.914676176281216
"703","D0229-V202NS01","Non-Farmer","Different Site",0.898300083742918
"704","D0229-V202NS01","Non-Farmer","Same Site",0.881199288811168
"705","D0229-V203NS01","Non-Farmer","Different Site",0.932488833196296
"706","D0229-V203NS01","Non-Farmer","Same Site",0.926592689414297
"707","D0229-V301NS01","Non-Farmer","Different Site",0.878115719958397
"708","D0229-V301NS01","Non-Farmer","Same Site",0.862609590097039
"709","D0229-V302NS01","Non-Farmer","Different Site",0.929089339957906
"710","D0229-V302NS01","Non-Farmer","Same Site",0.918879775085556
"711","D0229-V402NS01","Non-Farmer","Different Site",0.940157738840717
"712","D0229-V402NS01","Non-Farmer","Same Site",0.933734015214428
"713","D0233-V101NS01","Non-Farmer","Different Site",0.848192963035698
"714","D0233-V101NS01","Non-Farmer","Same Site",0.94714380919736
"715","D0233-V102NS01","Non-Farmer","Different Site",0.887429782399799
"716","D0233-V102NS01","Non-Farmer","Same Site",0.937500294268272
"717","D0233-V103NS01","Non-Farmer","Different Site",0.848977215108655
"718","D0233-V103NS01","Non-Farmer","Same Site",0.951048737279835
"719","D0233-V202NS01","Non-Farmer","Different Site",0.892847404700428
"720","D0233-V202NS01","Non-Farmer","Same Site",0.926387280011928
"721","D0233-V203NS01","Non-Farmer","Different Site",0.885023468258433
"722","D0233-V203NS01","Non-Farmer","Same Site",0.904882767395216
"723","D0233-V302NS01","Non-Farmer","Different Site",0.852781932294208
"724","D0233-V302NS01","Non-Farmer","Same Site",0.916645384261719
"725","D0233-V401NS01","Non-Farmer","Different Site",0.881705286159112
"726","D0233-V401NS01","Non-Farmer","Same Site",0.937228788642328
"727","D0233-V402NS01","Non-Farmer","Different Site",0.924025890820963
"728","D0233-V402NS01","Non-Farmer","Same Site",0.939296269543013
"729","D0234-V101NS01","Non-Farmer","Different Site",0.911352960859634
"730","D0234-V101NS01","Non-Farmer","Same Site",0.917564557207906
"731","D0234-V102NS01","Non-Farmer","Different Site",0.958265109899351
"732","D0234-V102NS01","Non-Farmer","Same Site",0.964071679772247
"733","D0234-V201NS01","Non-Farmer","Different Site",0.954225797080306
"734","D0234-V201NS01","Non-Farmer","Same Site",0.958209950805557
"735","D0234-V202NS01","Non-Farmer","Different Site",0.938153935808981
"736","D0234-V202NS01","Non-Farmer","Same Site",0.952144845809109
"737","D0236-V102NS01","Non-Farmer","Different Site",0.83401821332766
"738","D0236-V102NS01","Non-Farmer","Same Site",0.82571513027718
"739","D0236-V103NS01","Non-Farmer","Different Site",0.910656963744324
"740","D0236-V103NS01","Non-Farmer","Same Site",0.844447484223921
"741","D0236-V202NS01","Non-Farmer","Different Site",0.888844857661765
"742","D0236-V202NS01","Non-Farmer","Same Site",0.852260368315944
"743","D0236-V302NS01","Non-Farmer","Different Site",0.855522646738354
"744","D0236-V302NS01","Non-Farmer","Same Site",0.831593190528977
"745","D0236-V401NS01","Non-Farmer","Different Site",0.934694425952228
"746","D0236-V401NS01","Non-Farmer","Same Site",0.883941989442268
"747","D0236-V402NS01","Non-Farmer","Different Site",0.842464731985171
"748","D0236-V402NS01","Non-Farmer","Same Site",0.815707916137845
"749","D0239-V101NS01","Non-Farmer","Different Site",0.910536707815492
"750","D0239-V101NS01","Non-Farmer","Same Site",0.876028313161835
"751","D0239-V102NS01","Non-Farmer","Different Site",0.981908735813544
"752","D0239-V102NS01","Non-Farmer","Same Site",0.99118600608093
"753","D0239-V103NS01","Non-Farmer","Different Site",0.961725453933994
"754","D0239-V103NS01","Non-Farmer","Same Site",0.960863854565706
"755","D0239-V202NS01","Non-Farmer","Different Site",0.958069682709258
"756","D0239-V202NS01","Non-Farmer","Same Site",0.951739518780481
"757","D0239-V302NS01","Non-Farmer","Different Site",0.962706199990953
"758","D0239-V302NS01","Non-Farmer","Same Site",0.96681705216681
"759","D0239-V401NS01","Non-Farmer","Different Site",0.913087741996657
"760","D0239-V401NS01","Non-Farmer","Same Site",0.87013724556674
"761","D0239-V402NS01","Non-Farmer","Different Site",0.903055835292389
"762","D0239-V402NS01","Non-Farmer","Same Site",0.846825693860127
"763","D0241-V101NS01","Non-Farmer","Different Site",0.815390019029858
"764","D0241-V101NS01","Non-Farmer","Same Site",0.877151681111773
"765","D0241-V102NS01","Non-Farmer","Different Site",0.910809126320496
"766","D0241-V102NS01","Non-Farmer","Same Site",0.942423944974948
"767","D0241-V202NS01","Non-Farmer","Different Site",0.860790032983186
"768","D0241-V202NS01","Non-Farmer","Same Site",0.928691705598193
"769","D0241-V203NS01","Non-Farmer","Different Site",0.866376208765724
"770","D0241-V203NS01","Non-Farmer","Same Site",0.924126117039781
"771","D0241-V302NS01","Non-Farmer","Different Site",0.886196008089794
"772","D0241-V302NS01","Non-Farmer","Same Site",0.935522428145802
"773","D0241-V401NS01","Non-Farmer","Different Site",0.89133593847391
"774","D0241-V401NS01","Non-Farmer","Same Site",0.938628012280151
"775","D0241-V402NS01","Non-Farmer","Different Site",0.847414389748152
"776","D0241-V402NS01","Non-Farmer","Same Site",0.919284025897569
"777","D0242-V101NS01","Non-Farmer","Different Site",0.932412158419321
"778","D0242-V101NS01","Non-Farmer","Same Site",0.886456797104639
"779","D0242-V102NS01","Non-Farmer","Different Site",0.909165195021177
"780","D0242-V102NS01","Non-Farmer","Same Site",0.850517910483187
"781","D0242-V103NS01","Non-Farmer","Different Site",0.921505823019247
"782","D0242-V103NS01","Non-Farmer","Same Site",0.875164998871121
"783","D0242-V202NS01","Non-Farmer","Different Site",0.902443364426791
"784","D0242-V202NS01","Non-Farmer","Same Site",0.844710799066249
"785","D0242-V203NS01","Non-Farmer","Different Site",0.90575529685069
"786","D0242-V203NS01","Non-Farmer","Same Site",0.866707972417019
"787","D0242-V302NS01","Non-Farmer","Different Site",0.909153866771131
"788","D0242-V302NS01","Non-Farmer","Same Site",0.852168089237907
"789","D0242-V401NS01","Non-Farmer","Different Site",0.94554379193729
"790","D0242-V401NS01","Non-Farmer","Same Site",0.901477261191888
"791","D0242-V402NS01","Non-Farmer","Different Site",0.899327104873515
"792","D0242-V402NS01","Non-Farmer","Same Site",0.842405378218567
"793","D0301-S001NS01","Non-Farmer","Different Site",0.882616791177019
"794","D0301-S001NS01","Non-Farmer","Same Site",0.957525918111896
"795","D0301-V202NS01","Non-Farmer","Different Site",0.864252329381048
"796","D0301-V202NS01","Non-Farmer","Same Site",0.955558242896962
"797","D0301-V301NS01","Non-Farmer","Different Site",0.85793575719654
"798","D0301-V301NS01","Non-Farmer","Same Site",0.946769093972704
"799","D0301-V302NS01","Non-Farmer","Different Site",0.891254832608709
"800","D0301-V302NS01","Non-Farmer","Same Site",0.958889400764305
"801","D0302-F001NS01","Non-Farmer","Different Site",0.950941952820945
"802","D0302-F001NS01","Non-Farmer","Same Site",0.961713557272289
"803","D0302-P001NS01","Non-Farmer","Different Site",0.932180248825802
"804","D0302-P001NS01","Non-Farmer","Same Site",0.949138858771209
"805","D0302-S001NS01","Non-Farmer","Different Site",0.846110926690191
"806","D0302-S001NS01","Non-Farmer","Same Site",0.935857692862331
"807","D0302-V103NS01","Non-Farmer","Different Site",0.859337412983888
"808","D0302-V103NS01","Non-Farmer","Same Site",0.926285341944948
"809","D0302-V203NS01","Non-Farmer","Different Site",0.918001990818449
"810","D0302-V203NS01","Non-Farmer","Same Site",0.925245018606979
"811","D0302-V302NS01","Non-Farmer","Different Site",0.730964824428767
"812","D0302-V302NS01","Non-Farmer","Same Site",0.724947233193159
"813","D0302-V303NS01","Non-Farmer","Different Site",0.927061366632608
"814","D0302-V303NS01","Non-Farmer","Same Site",0.952567313632411
"815","D0302-V401NS01","Non-Farmer","Different Site",0.967622220240173
"816","D0302-V401NS01","Non-Farmer","Same Site",0.972017241289988
"817","D0302-V402NS01","Non-Farmer","Different Site",0.963279483510241
