"","x"
"C0322-S001NS01",80
"C0322-V201NS01",140
"C0322-V301NS01",117
"C0323-S001NS01",77
"C0323-V201NS01",116
"C0324-S001NS01",94
"C0324-V201NS01",90
"C0324-V301NS01",102
"C0325-S001NS01",121
"C0325-V201NS01",133
"C0325-V301NS01",38
"C0326-S001NS01",91
"C0326-V201NS01",96
"C0326-V301NS01",112
"C0327-S001NS01",114
"C0327-V201NS01",164
"C0328-S001NS01",96
"C0328-V201NS01",185
"C0329-S001NS01",134
"C0329-V201NS01",158
"C0333-V101NS01",53
"C0333-V201NS01",147
"C0334-V101NS01",155
"C0334-V201NS01",129
"C0335-V101NS01",80
"C0336-V101NS01",109
"C0336-V201NS01",42
"C0337-V101NS01",150
"C0338-V101NS01",130
"C0339-V101NS01",85
"C0341-V101NS01",88
"C0342-V101NS01",116
"C0343-V101NS01",84
"C0401-P001NS01",110
"C0402-P001NS01",108
"C0402-S001NS01",121
"C0402-W001NS01",51
"C0403-P001NS01",57
"C0403-S001NS01",76
"C0403-V102NS01",150
"C0403-V401NS01",98
"C0403-W001NS01",122
"C0404-P001NS01",84
"C0404-S001NS01",43
"C0404-V102NS01",122
"C0404-W001NS01",110
"C0405-P001NS01",42
"C0405-S001NS01",72
"C0405-W001NS01",156
"C0406-F001NS01",125
"C0406-P001NS01",123
"C0406-S001NS01",42
"C0406-V401NS01",108
"C0407-P001NS01",158
"C0407-S001NS01",70
"C0408-F001NS01",23
"C0408-P001NS01",89
"C0408-S001NS01",31
"C0409-F001NS01",87
"C0409-P001NS01",61
"C0409-S001NS01",75
"C0410-F001NS01",115
"C0410-P001NS01",61
"C0410-S001NS01",54
"C0410-V401NS01",127
"C0411-F001NS01",121
"C0411-P001NS01",67
"C0411-S001NS01",95
"C0412-P001NS01",76
"C0412-S001NS01",49
"C0412-V301NS01",76
"C0412-V401NS01",47
"C0414-P001NS01",86
"C0414-S001NS01",137
"C0414-V301NS01",118
"C0414-V401NS01",76
"C0415-P001NS01",56
"C0415-S001NS01",147
"C0415-V301NS01",162
"C0415-V401NS01",123
"C0416-F001NS01",49
"C0416-P001NS01",95
"C0416-V301NS01",104
"C0417-F001NS01",43
"C0417-S001NS01",59
"C0417-V301NS01",54
"C0419-S001NS01",57
"C0420-S001NS01",95
"C0420-V201NS01",179
"C0421-F001NS01",189
"C0421-S001NS01",58
"C0421-V301NS01",119
"C0422-S001NS01",155
"C0422-V201NS01",103
"C0422-V301NS01",61
"C0423-S001NS01",83
"C0423-V201NS01",99
"C0423-V301NS01",100
"C0424-S001NS01",83
"C0424-V201NS01",93
"C0424-V301NS01",24
"C0425-S001NS01",123
"C0425-V201NS01",147
"C0425-V301NS01",18
"C0426-S001NS01",64
"C0426-V201NS01",120
"C0426-V301NS01",75
"C0427-S001NS01",52
"C0427-V201NS01",95
"C0427-V301NS01",110
"C0428-S001NS01",45
"C0428-V201NS01",188
"C0429-S001NS01",33
"C0429-V201NS01",170
"C0433-V101NS01",99
"C0433-V201NS01",99
"C0434-V101NS01",117
"C0434-V201NS01",77
"C0435-V101NS01",109
"C0436-V101NS01",60
"C0436-V201NS01",108
"C0437-V101NS01",194
"C0438-V101NS01",170
"C0439-V101NS01",85
"C0441-V101NS01",106
"C0442-V101NS01",117
"C0443-V101NS01",156
"C0502-V102NS01",44
"C0502-V401NS01",51
"C0504-S001NS01",21
"C0504-V102NS01",60
"C0505-S001NS01",68
"C0505-V102NS01",67
"C0505-V401NS01",168
"C0506-V401NS01",80
"C0507-F001NS01",75
"C0507-V401NS01",85
"C0511-V401NS01",101
"C0520-V201NS01",141
"C0520-V301NS01",133
"C0521-V301NS01",106
"C0602-V102NS01",52
"C0602-V401NS01",71
"C0605-S001NS01",63
"C0606-V401NS01",78
"C0611-V401NS01",60
"C0620-V301NS01",76
"C0702-V102NS01",74
"C0702-V401NS01",119
"C0705-V102NS01",140
"C0705-V401NS01",164
"C0805-V102NS01",143
"C0805-V401NS01",140
"D0101-S001NS01",22
"D0101-V301NS01",3
"D0102-F001NS01",12
"D0102-P001NS01",12
"D0102-S001NS01",9
"D0102-V401NS01",6
"D0103-F001NS01",19
"D0103-S001NS01",35
"D0104-P001NS01",24
"D0104-S001NS01",23
"D0104-V301NS01",31
"D0104-V401NS01",14
"D0105-S001NS01",10
"D0105-V201NS01",14
"D0106-S001NS01",7
"D0106-V201NS01",6
"D0106-V301NS01",7
"D0107-S001NS01",14
"D0107-V201NS01",32
"D0107-V301NS01",49
"D0108-S001NS01",3
"D0108-V201NS01",4
"D0109-F001NS01",12
"D0109-S001NS01",11
"D0109-V301NS01",9
"D0110-F001NS01",11
"D0110-S001NS01",15
"D0110-V301NS01",20
"D0111-P001NS01",8
"D0111-S001NS01",7
"D0111-V401NS01",34
"D0112-S001NS01",13
"D0112-V201NS01",23
"D0114-S001NS01",18
"D0114-V201NS01",51
"D0114-V301NS01",65
"D0115-S001NS01",40
"D0115-V201NS01",19
"D0116-S001NS01",17
"D0116-V201NS01",28
"D0116-V301NS01",69
"D0117-F001NS01",21
"D0117-S001NS01",15
"D0117-V301NS01",9
"D0119-S001NS01",17
"D0120-S001NS01",22
"D0120-V201NS01",26
"D0120-V301NS01",66
"D0121-S001NS01",8
"D0121-V201NS01",8
"D0121-V301NS01",15
"D0122-S001NS01",15
"D0123-S001NS01",10
"D0123-V201NS01",47
"D0123-V301NS01",45
"D0124-S001NS01",12
"D0124-V201NS01",19
"D0124-V301NS01",38
"D0125-V201NS01",13
"D0126-V301NS01",79
"D0127-V101NS01",30
"D0127-V201NS01",84
"D0128-F001NS01",15
"D0129-F001NS01",29
"D0129-V201NS01",33
"D0133-V101NS01",23
"D0134-V101NS01",21
"D0134-V201NS01",80
"D0136-V101NS01",30
"D0138-V101NS01",31
"D0139-V101NS01",26
"D0201-F001NS01",34
"D0201-S001NS01",54
"D0201-V301NS01",36
"D0202-F001NS01",14
"D0202-P001NS01",18
"D0202-S001NS01",13
"D0202-V401NS01",23
"D0210-F001NS01",4
"D0210-P001NS01",67
"D0210-S001NS01",9
"D0210-V301NS01",31
"D0215-S001NS01",19
"D0215-V201NS01",43
"D0215-V301NS01",79
"D0216-S001NS01",5
"D0216-V201NS01",17
"D0219-S001NS01",17
"D0219-V301NS01",53
"D0221-V101NS01",78
"D0222-V101NS01",23
"D0223-V101NS01",25
"D0223-V201NS01",18
"D0226-F001NS01",11
"D0226-V201NS01",11
"D0228-F001NS01",21
"D0228-V201NS01",10
"D0233-V101NS01",13
"D0234-V101NS01",22
"D0234-V201NS01",18
"D0239-V101NS01",12
"D0241-V101NS01",57
"D0301-S001NS01",12
"D0301-V301NS01",32
"D0302-F001NS01",12
"D0302-P001NS01",10
"D0302-S001NS01",14
"D0302-V401NS01",23
"D0326-V201NS01",59
"D0334-V101NS01",31
"D0334-V201NS01",62
"D0336-V101NS01",33
"D0336-V201NS01",38
"D0338-V101NS01",5
"D0339-V101NS01",4
"D0402-F001NS01",16
"D0402-S001NS01",9
"D0402-V401NS01",13
"D0436-V101NS01",13
"D0536-V101NS01",24
"D0636-V101NS01",10
"W0101-P001NS01",21
"W0102-P001NS01",10
"W0102-S001NS01",34
"W0102-V102NS01",46
"W0102-V401NS01",55
"W0102-W001NS01",66
"W0103-P001NS01",47
"W0103-S001NS01",79
"W0103-V102NS01",67
"W0103-V401NS01",102
"W0103-W001NS01",44
"W0104-P001NS01",13
"W0104-S001NS01",7
